Step 100 / 100000 Total loss: 2.6876, Mel loss: 2.3710, Stop loss: 0.3165
Step 200 / 100000 Total loss: 2.1944, Mel loss: 2.0919, Stop loss: 0.1025
Step 300 / 100000 Total loss: 2.0505, Mel loss: 1.9899, Stop loss: 0.0606
Step 400 / 100000 Total loss: 1.9640, Mel loss: 1.9175, Stop loss: 0.0465
Step 500 / 100000 Total loss: 1.8584, Mel loss: 1.8204, Stop loss: 0.0379
Step 600 / 100000 Total loss: 1.8697, Mel loss: 1.8267, Stop loss: 0.0431
Step 700 / 100000 Total loss: 1.7977, Mel loss: 1.7661, Stop loss: 0.0316
Step 736 / 100000 Total loss: 1.0244, Mel loss: 0.9993, Stop loss: 0.0251 - Validation
Step 800 / 100000 Total loss: 1.7433, Mel loss: 1.7148, Stop loss: 0.0285
Step 900 / 100000 Total loss: 1.7606, Mel loss: 1.7335, Stop loss: 0.0271
Step 1000 / 100000 Total loss: 1.6805, Mel loss: 1.6547, Stop loss: 0.0259
Step 1100 / 100000 Total loss: 1.6603, Mel loss: 1.6368, Stop loss: 0.0235
Step 100 / 100000 Total loss: 1.7994, Mel loss: 1.7532, Stop loss: 0.0462
Step 200 / 100000 Total loss: 1.3722, Mel loss: 1.3403, Stop loss: 0.0319
Step 300 / 100000 Total loss: 1.1076, Mel loss: 1.0780, Stop loss: 0.0296
Step 400 / 100000 Total loss: 0.8903, Mel loss: 0.8624, Stop loss: 0.0278
Step 500 / 100000 Total loss: 0.7020, Mel loss: 0.6715, Stop loss: 0.0305
Step 600 / 100000 Total loss: 0.5868, Mel loss: 0.5593, Stop loss: 0.0275
Step 700 / 100000 Total loss: 0.4546, Mel loss: 0.4310, Stop loss: 0.0236
Step 800 / 100000 Total loss: 0.3582, Mel loss: 0.3356, Stop loss: 0.0226
Step 900 / 100000 Total loss: 0.3410, Mel loss: 0.3207, Stop loss: 0.0203
Step 1000 / 100000 Total loss: 0.2708, Mel loss: 0.2517, Stop loss: 0.0192
Step 1100 / 100000 Total loss: 0.2644, Mel loss: 0.2461, Stop loss: 0.0183
Step 1200 / 100000 Total loss: 0.2611, Mel loss: 0.2439, Stop loss: 0.0172
Step 1300 / 100000 Total loss: 0.2222, Mel loss: 0.2044, Stop loss: 0.0178
Step 1400 / 100000 Total loss: 0.2373, Mel loss: 0.2179, Stop loss: 0.0194
Step 1500 / 100000 Total loss: 0.1951, Mel loss: 0.1770, Stop loss: 0.0181
Step 1600 / 100000 Total loss: 0.2337, Mel loss: 0.2117, Stop loss: 0.0220
Step 1700 / 100000 Total loss: 0.2192, Mel loss: 0.2001, Stop loss: 0.0192
Step 1800 / 100000 Total loss: 0.2102, Mel loss: 0.1919, Stop loss: 0.0183
Step 1900 / 100000 Total loss: 0.2631, Mel loss: 0.2446, Stop loss: 0.0186
Step 2000 / 100000 Total loss: 0.2267, Mel loss: 0.2155, Stop loss: 0.0113
Step 2100 / 100000 Total loss: 0.2149, Mel loss: 0.2128, Stop loss: 0.0021
Step 2200 / 100000 Total loss: 0.2297, Mel loss: 0.2249, Stop loss: 0.0048
Step 2300 / 100000 Total loss: 0.1952, Mel loss: 0.1942, Stop loss: 0.0010
Step 2400 / 100000 Total loss: 0.1918, Mel loss: 0.1878, Stop loss: 0.0040
Step 2500 / 100000 Total loss: 0.1934, Mel loss: 0.1932, Stop loss: 0.0002
Step 2600 / 100000 Total loss: 0.1998, Mel loss: 0.1910, Stop loss: 0.0088
Step 2700 / 100000 Total loss: 0.1994, Mel loss: 0.1950, Stop loss: 0.0044
Step 2800 / 100000 Total loss: 0.2124, Mel loss: 0.2114, Stop loss: 0.0009
Step 2900 / 100000 Total loss: 0.2192, Mel loss: 0.2166, Stop loss: 0.0026
Step 3000 / 100000 Total loss: 0.1951, Mel loss: 0.1925, Stop loss: 0.0026
Step 3100 / 100000 Total loss: 0.2175, Mel loss: 0.2156, Stop loss: 0.0018
Step 3200 / 100000 Total loss: 0.1681, Mel loss: 0.1679, Stop loss: 0.0002
Step 3300 / 100000 Total loss: 0.1857, Mel loss: 0.1807, Stop loss: 0.0051
Step 3400 / 100000 Total loss: 0.2066, Mel loss: 0.2006, Stop loss: 0.0061
Step 3500 / 100000 Total loss: 0.1956, Mel loss: 0.1909, Stop loss: 0.0046
Step 3600 / 100000 Total loss: 0.1942, Mel loss: 0.1916, Stop loss: 0.0026
Step 3700 / 100000 Total loss: 0.1708, Mel loss: 0.1708, Stop loss: 0.0001
Step 3800 / 100000 Total loss: 0.1522, Mel loss: 0.1511, Stop loss: 0.0010
Step 3900 / 100000 Total loss: 0.1834, Mel loss: 0.1832, Stop loss: 0.0002
Step 4000 / 100000 Total loss: 0.1777, Mel loss: 0.1761, Stop loss: 0.0016
Step 4100 / 100000 Total loss: 0.1765, Mel loss: 0.1711, Stop loss: 0.0054
Step 4200 / 100000 Total loss: 0.1690, Mel loss: 0.1685, Stop loss: 0.0005
Step 4300 / 100000 Total loss: 0.1714, Mel loss: 0.1700, Stop loss: 0.0014
Step 4400 / 100000 Total loss: 0.1765, Mel loss: 0.1763, Stop loss: 0.0002
Step 4500 / 100000 Total loss: 0.1879, Mel loss: 0.1860, Stop loss: 0.0019
Step 4600 / 100000 Total loss: 0.2062, Mel loss: 0.2058, Stop loss: 0.0003
Step 4700 / 100000 Total loss: 0.1657, Mel loss: 0.1656, Stop loss: 0.0001
Step 4800 / 100000 Total loss: 0.2119, Mel loss: 0.2068, Stop loss: 0.0051
Step 4900 / 100000 Total loss: 0.1723, Mel loss: 0.1683, Stop loss: 0.0040
Step 5000 / 100000 Total loss: 0.1583, Mel loss: 0.1572, Stop loss: 0.0011
Step 5100 / 100000 Total loss: 0.1592, Mel loss: 0.1590, Stop loss: 0.0002
Step 5200 / 100000 Total loss: 0.1737, Mel loss: 0.1735, Stop loss: 0.0001
Step 5300 / 100000 Total loss: 0.1665, Mel loss: 0.1664, Stop loss: 0.0001
Step 5400 / 100000 Total loss: 0.1934, Mel loss: 0.1901, Stop loss: 0.0033
Step 5500 / 100000 Total loss: 0.1763, Mel loss: 0.1749, Stop loss: 0.0015
Step 5600 / 100000 Total loss: 0.1596, Mel loss: 0.1583, Stop loss: 0.0013
Step 5700 / 100000 Total loss: 0.1686, Mel loss: 0.1684, Stop loss: 0.0002
Step 5800 / 100000 Total loss: 0.1687, Mel loss: 0.1687, Stop loss: 0.0001
Step 5900 / 100000 Total loss: 0.1673, Mel loss: 0.1672, Stop loss: 0.0001
Step 6000 / 100000 Total loss: 0.1775, Mel loss: 0.1767, Stop loss: 0.0008
Step 6100 / 100000 Total loss: 0.1904, Mel loss: 0.1902, Stop loss: 0.0002
Step 6200 / 100000 Total loss: 0.1618, Mel loss: 0.1617, Stop loss: 0.0001
Step 6300 / 100000 Total loss: 0.1614, Mel loss: 0.1614, Stop loss: 0.0000
Step 6400 / 100000 Total loss: 0.1741, Mel loss: 0.1675, Stop loss: 0.0066
Step 6500 / 100000 Total loss: 0.1819, Mel loss: 0.1818, Stop loss: 0.0001
Step 6600 / 100000 Total loss: 0.1815, Mel loss: 0.1745, Stop loss: 0.0070
Step 6700 / 100000 Total loss: 0.1728, Mel loss: 0.1713, Stop loss: 0.0014
Step 6800 / 100000 Total loss: 0.1689, Mel loss: 0.1654, Stop loss: 0.0036
Step 6900 / 100000 Total loss: 0.1755, Mel loss: 0.1754, Stop loss: 0.0000
Step 7000 / 100000 Total loss: 0.1607, Mel loss: 0.1606, Stop loss: 0.0001
Step 7100 / 100000 Total loss: 0.1468, Mel loss: 0.1467, Stop loss: 0.0001
Step 7200 / 100000 Total loss: 0.1703, Mel loss: 0.1702, Stop loss: 0.0000
Step 7300 / 100000 Total loss: 0.1710, Mel loss: 0.1685, Stop loss: 0.0025
Step 7400 / 100000 Total loss: 0.1610, Mel loss: 0.1609, Stop loss: 0.0001
Step 7500 / 100000 Total loss: 0.1807, Mel loss: 0.1805, Stop loss: 0.0002
Step 7600 / 100000 Total loss: 0.1539, Mel loss: 0.1522, Stop loss: 0.0017
